Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
07/11/2017,CHRY,2D,,GRY,L172450,IL,400 E. Lower Wacker,(312) 744-7550,969677
07/11/2017,OLDS,VN,,WHI,,IL,10300 S. Doty,(773) 568-8495,2826351
09/01/2017,FORD,VN,EC2,WHI,2180242,IL,10300 S. Doty,(773) 568-8495,2830576
08/08/2017,JEEP,LL,,GRN,E477893,IL,701 N. Sacramento,(773) 265-7605,6893651
09/06/2017,GMC,4D,,GLD,AL90063,IL,701 N. Sacramento,(773) 265-7605,6896047
09/06/2017,DODG,VN,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6896042
09/06/2017,CHEV,VN,TK,BLK,S930296,IL,701 N. Sacramento,(773) 265-7605,6896041
09/06/2017,PONT,4D,,SIL,H260775,IL,701 N. Sacramento,(773) 265-7605,6896045
08/08/2017,BUIC,LL,,GRY,Z833299,IL,701 N. Sacramento,(773) 265-7605,6893660
09/06/2017,HYUN,4T,,GRY,Q335952,IL,701 N. Sacramento,(773) 265-7605,6896046
09/06/2017,NISS,4T,,TAN,AL92954,IL,701 N. Sacramento,(773) 265-7605,6896043
08/08/2017,MERC,4D,,MAR,Q620836,IL,701 N. Sacramento,(773) 265-7605,6893661
07/10/2017,BMW,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2826344
07/11/2017,JEEP,4D,,RED,ZZ89153,IL,10300 S. Doty,(773) 568-8495,2826348
09/06/2017,HYUN,4D,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1536399
09/06/2017,SUBA,PK,,YEL,E624311,IL,701 N. Sacramento,(773) 265-1846,1536400
07/10/2017,CHEV,4D,,RED,,IL,701 N. Sacramento,(773) 265-7605,6891156
07/11/2017,FORD,4D,,GRN,AP26845,IL,701 N. Sacramento,(773) 265-7605,6891165
07/11/2017,GMC,VN,,MAR,617T903,IL,10300 S. Doty,(773) 568-8495,2826354
07/11/2017,GMC,VN,,MAR,S218221,IL,10300 S. Doty,(773) 568-8495,2826356
09/02/2017,CHEV,4D,,TAN,443T224,IL,701 N. Sacramento,(773) 265-7605,6895732
09/05/2017,NISS,4D,,GRY,Q968415,IL,701 N. Sacramento,(773) 265-7605,6896019
08/08/2017,CHEV,4D,,BLK,E575895,IL,701 N. Sacramento,(773) 265-7605,6893663
09/05/2017,GMC,LL,,BLK,CCE212,IA,701 N. Sacramento,(773) 265-1846,1536394
08/07/2017,KIA,4D,,BLK,ZV64178,IL,701 N. Sacramento,(773) 265-7605,6893583
09/05/2017,CHEV,4D,IMP,BLU,AN13979,IL,701 N. Sacramento,(773) 265-7605,6896016
09/05/2017,SATR,2D,,GLD,Q344396,IL,701 N. Sacramento,(773) 265-7605,6896020
09/05/2017,PONT,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6896022
07/10/2017,VOLV,LL,,BLK,E102887,IL,701 N. Sacramento,(773) 265-7605,6891151
09/05/2017,PONT,4D,,BLU,127ZFB,WI,701 N. Sacramento,(773) 265-7605,6896017
09/05/2017,NISS,4D,,GRY,ZV88514,IL,701 N. Sacramento,(773) 265-7605,6896018
07/11/2017,BUIC,4D,,BLK,AL17110,IL,10300 S. Doty,(773) 568-8495,2826358
09/06/2017,DODG,LL,,SIL,27807MV,WI,701 N. Sacramento,(773) 265-7605,6896052
09/06/2017,GMC,LL,,BLK,AL22878,IL,701 N. Sacramento,(773) 265-7605,6896053
09/06/2017,CHEV,4D,,GRY,Q257341,IL,701 N. Sacramento,(773) 265-7605,6896076
07/11/2017,CHEV,LL,,BLU,Q278207,IL,10300 S. Doty,(773) 568-8495,2826359
09/06/2017,CHEV,2D,,WHI,AH23283,IL,701 N. Sacramento,(773) 265-7605,6896075
07/05/2017,TOYT,4D,,PLE,AK57696,IL,10300 S. Doty,(773) 568-8495,2825906
07/05/2017,MERZ,4D,,SIL,AG70297,IL,10300 S. Doty,(773) 568-8495,2825905
09/05/2017,HOND,2D,CIV,BLU,Q262864,IL,701 N. Sacramento,(773) 265-7605,6896025
07/10/2017,SAA,4D,,WHI,Z668175,IL,701 N. Sacramento,(773) 265-1846,1536140
08/08/2017,SUBA,LL,,SIL,XZAK2EN,IL,10300 S. Doty,(773) 568-8495,2828547
09/05/2017,FORD,4D,,BLU,N821281,IL,701 N. Sacramento,(773) 265-7605,6896024
08/08/2017,TOYT,4D,,GRN,AH31743,IL,701 N. Sacramento,(773) 265-7605,6893682
09/05/2017,TOYT,4D,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1536396
07/10/2017,FORD,4D,,GLD,E861542,IL,10300 S. Doty,(773) 568-8495,2826336
07/10/2017,CHEV,2D,,RED,,,10300 S. Doty,(773) 568-8495,2826329
07/10/2017,PONT,4D,,GRY,VMZ203,IN,10300 S. Doty,(773) 568-8495,2826337
07/10/2017,FORD,4D,,SIL,Z661228,IL,701 N. Sacramento,(773) 265-7605,6891152
07/05/2017,AUDI,4D,,TRQ,Q195317,IL,701 N. Sacramento,(773) 265-7605,6890757
08/09/2017,NISS,LL,,GRY,411T148,IL,10300 S. Doty,(773) 785-9752,1717420
08/10/2017,HOND,LL,,BLK,Q961422,IL,701 N. Sacramento,(773) 265-7605,6893840
07/15/2017,CHEV,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6891595
08/08/2017,NISS,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2828546
08/08/2017,TOYT,2D,,GLD,,IL,701 N. Sacramento,(773) 265-1846,1536285
07/11/2017,CHEV,VN,,WHI,E279900,IL,10300 S. Doty,(773) 568-8495,2826357
09/05/2017,VOLK,4D,,GRY,ZZ24373,IL,701 N. Sacramento,(773) 265-1846,1536397
08/08/2017,TOYT,SW,,SIL,K707716,IL,701 N. Sacramento,(773) 265-1846,1536283
08/08/2017,CADI,4D,,BLK,Q803005,IL,701 N. Sacramento,(773) 265-1846,1536284
07/11/2017,CHEV,VN,TK,GRY,Z835135,IL,701 N. Sacramento,(773) 265-7605,6891197
08/08/2017,FORD,2D,,WHI,ZY11665,IL,10300 S. Doty,(773) 785-9752,1717417
09/05/2017,CHEV,2D,,RED,AG71715,IL,10300 S. Doty,(773) 568-8495,2830899
09/06/2017,GMC,PK,,GRY,N195573,IL,701 N. Sacramento,(773) 265-7605,6896102
09/06/2017,MERC,4D,,MAR,L847800,IL,701 N. Sacramento,(773) 265-7605,6896104
09/06/2017,JEEP,LL,,RED,E487179,IL,701 N. Sacramento,(773) 265-7605,6896097
09/06/2017,NISS,4D,,RED,Y803848,IL,701 N. Sacramento,(773) 265-7605,6896100
09/06/2017,NISS,LL,,GRY,E741020,IL,701 N. Sacramento,(773) 265-7605,6896106
09/06/2017,NISS,4D,,BLK,AG41822,IL,701 N. Sacramento,(773) 265-7605,6896101
09/06/2017,MERC,4D,,MAR,E771273,IL,701 N. Sacramento,(773) 265-7605,6896105
09/06/2017,NISS,4D,,BLK,702T427,IL,701 N. Sacramento,(773) 265-7605,6896099
09/06/2017,CADI,4D,,RED,R952725,IL,701 N. Sacramento,(773) 265-7605,6896120
07/11/2017,LINC,LL,TK,BLK,Q405594,IL,701 N. Sacramento,(773) 265-7605,6891212
09/06/2017,JEEP,LL,,GRY,,IL,701 N. Sacramento,(773) 265-1846,1536407
08/08/2017,LEXS,4D,,GRY,AG74284,IL,10300 S. Doty,(773) 568-8495,2828553
09/06/2017,MAZD,4D,,BLK,Q619625,IL,701 N. Sacramento,(773) 265-7605,6896121
09/06/2017,NISS,4D,,WHI,079UWK,MN,400 E. Lower Wacker,(312) 744-7550,973083
08/09/2017,HYUN,LL,,GRY,S824317,IL,10300 S. Doty,(773) 568-8495,2828579
08/09/2017,CHRY,4D,,GRY,AH41233,IL,10300 S. Doty,(773) 568-8495,2828581
09/08/2017,BUIC,4D,,TAN,AG34916,IL,701 N. Sacramento,(773) 265-7605,6896318
09/08/2017,LINC,4D,,TAN,AL50976,IL,10300 S. Doty,(773) 568-8495,2831031
09/08/2017,JEEP,4D,,MAR,AP39758,IL,10300 S. Doty,(773) 568-8495,2831029
09/08/2017,JEEP,LL,,GRY,ZX86929,IL,701 N. Sacramento,(773) 265-7605,6896317
09/08/2017,CHEV,4D,,BLU,615T354,IL,10300 S. Doty,(773) 568-8495,2831030
08/09/2017,PONT,4D,,MAR,,,701 N. Sacramento,(773) 265-1846,1536292
09/05/2017,LEXS,2D,,SIL,FZU2980,OH,701 N. Sacramento,(773) 265-7605,6896028
08/08/2017,DODG,4D,,GRY,890VWP,IL,701 N. Sacramento,(773) 265-7605,6893676
09/05/2017,MERC,4D,,WHI,AK57312,IL,10300 S. Doty,(773) 568-8495,2830904
09/05/2017,CHEV,LL,TK,WHI,Y721963,IL,701 N. Sacramento,(773) 265-7605,6896033
09/06/2017,HOND,4D,,GRN,Q455481,IL,701 N. Sacramento,(773) 265-1846,1536405
07/10/2017,BUIC,4D,,SIL,312T978,IL,701 N. Sacramento,(773) 265-7605,6891136
09/06/2017,FORD,VN,,WHI,R998958,IL,701 N. Sacramento,(773) 265-7605,6896122
09/06/2017,BMW,LL,,BLK,D920SK,IN,10300 S. Doty,(773) 785-9752,1717495
07/10/2017,LEXS,4D,,MAR,AP36458,IL,10300 S. Doty,(773) 568-8495,2826330
07/10/2017,HYUN,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2826324
09/07/2017,BUIC,4D,,GRN,R788996,IL,10300 S. Doty,(773) 568-8495,2830993
09/07/2017,BUIC,4D,,BLU,N917139,IL,10300 S. Doty,(773) 568-8495,2830992
09/08/2017,NISS,4D,,GRY,AJ77982,IL,701 N. Sacramento,(773) 265-7605,6896328
09/08/2017,ACUR,4D,,BLK,E357172,IL,701 N. Sacramento,(773) 265-7605,6896327
09/08/2017,OLDS,4D,,BLK,Q925636,IL,701 N. Sacramento,(773) 265-7605,6896335
08/08/2017,FORD,4D,,RED,Z710945,IL,10300 S. Doty,(773) 785-9752,1717418
09/08/2017,ACUR,4D,,WHI,E488535,IL,701 N. Sacramento,(773) 265-7605,6896354
08/08/2017,DODG,PK,,GRY,76689B2,CA,400 E. Lower Wacker,(312) 744-7550,971260
07/07/2017,DODG,PK,,BLU,392192D,IL,10300 S. Doty,(773) 568-8495,2826017
07/11/2017,INFI,2D,,BLK,Z664898,IL,10300 S. Doty,(773) 568-8495,2826364
08/09/2017,HOND,4D,,GRN,Z668718,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,415966
08/09/2017,PONT,4D,,BLK,Z725227,IL,Chicago O'hare International Airport remote lot E.,(312) 746-6350,415965
07/10/2017,CHEV,4D,,GLD,AL13114,IL,701 N. Sacramento,(773) 265-7605,6891133
09/05/2017,MERC,4D,,LBL,P350626,IL,10300 S. Doty,(773) 568-8495,2830901
09/05/2017,CHEV,4D,,GRY,511T734,IL,10300 S. Doty,(773) 568-8495,2830902
09/05/2017,FORD,LL,,BLK,ZU35436,IL,701 N. Sacramento,(773) 265-1846,1536398
07/10/2017,CHEV,4D,,WHI,J925470,IL,10300 S. Doty,(773) 568-8495,2826339
09/05/2017,CHEV,LL,,WHI,7533701,IN,10300 S. Doty,(773) 568-8495,2830900
09/06/2017,TOYT,LL,,WHI,AH39707,IL,701 N. Sacramento,(773) 265-7605,6896129
07/10/2017,HOND,2D,,WHI,Z162267,IL,10300 S. Doty,(773) 568-8495,2826340
09/06/2017,CHEV,LL,,GRN,Q264983,IL,701 N. Sacramento,(773) 265-7605,6896127
07/11/2017,BMW,4D,,BLU,Q811673,IL,701 N. Sacramento,(773) 265-7605,6891171
09/06/2017,BMW,LL,,DGR,DC6394,IN,10300 S. Doty,(773) 568-8495,2830944
09/06/2017,HYUN,LL,,BLK,Q711863,IL,701 N. Sacramento,(773) 265-7605,6896130
08/08/2017,BUIC,4D,,MAR,,IL,701 N. Sacramento,(773) 265-7605,6893688
09/06/2017,HOND,2D,,SIL,AB28224,IL,400 E. Lower Wacker,(312) 744-7550,973084
09/06/2017,LEXS,4D,,WHI,Q707120,IL,701 N. Sacramento,(773) 265-7605,6896132
08/08/2017,FORD,PK,TK,BLU,,IL,10300 S. Doty,(773) 568-8495,2828554
09/06/2017,GMC,LL,,WHI,AE19950,AZ,701 N. Sacramento,(773) 265-7605,6896125
09/07/2017,HOND,4D,,GRN,P457076,IL,701 N. Sacramento,(773) 265-7605,6896182
09/07/2017,JEEP,LL,,SIL,Q915170,IL,701 N. Sacramento,(773) 265-7605,6896185
09/07/2017,JEEP,LL,,WHI,P116404,IL,701 N. Sacramento,(773) 265-7605,6896183
08/04/2017,DODG,4D,,GRY,Q637080,IL,10300 S. Doty,(773) 568-8495,2828178
08/04/2017,BUIC,4D,,BLK,AG59712,IL,10300 S. Doty,(773) 568-8495,2828189
08/08/2017,SUZI,MC,,GRY,CP2354,IL,701 N. Sacramento,(773) 265-1846,1536286
07/10/2017,JEEP,LL,,GRY,E431317,IL,701 N. Sacramento,(773) 265-7605,6891135
09/05/2017,CHEV,LL,,GRN,Q470056,IL,10300 S. Doty,(773) 568-8495,2830903
08/08/2017,CHEV,PK,,BLK,91920FF,IL,10300 S. Doty,(773) 568-8495,2828552
08/08/2017,TRIU,MC,,WHI,EB4508,IL,701 N. Sacramento,(773) 265-7605,6893679
09/07/2017,FORD,4D,,LBL,,,701 N. Sacramento,(773) 265-7605,6896280
09/07/2017,MERZ,LL,,WHI,V640710,IL,701 N. Sacramento,(773) 265-7605,6896281
09/07/2017,BUIC,LL,,SIL,ZZ40591,IL,701 N. Sacramento,(773) 265-7605,6896282
09/07/2017,TOYT,VN,SNA,GRN,Q820854,IL,701 N. Sacramento,(773) 265-7605,6896283
09/07/2017,CHEV,LL,,RED,Q826125,IL,701 N. Sacramento,(773) 265-7605,6896284
08/09/2017,CADI,4D,,WHI,Q339329,IL,701 N. Sacramento,(773) 265-7605,6893780
08/09/2017,JEEP,LL,,BLK,Q336294,IL,701 N. Sacramento,(773) 265-7605,6893781
08/09/2017,DODG,VN,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6893774
08/10/2017,NISS,4D,,RED,ZU19337,IL,701 N. Sacramento,(773) 265-7605,6893841
08/10/2017,CHEV,VN,TK,BLU,38702CV,IL,10300 S. Doty,(773) 568-8495,2828620
08/10/2017,CHEV,VC,,WHI,26428D,IL,10300 S. Doty,(773) 568-8495,2828618
08/10/2017,FORD,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2828621
08/08/2017,CHEV,4D,,GRY,Q142763,IL,701 N. Sacramento,(773) 265-7605,6893689
07/07/2017,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2826016
08/08/2017,CADI,4D,,WHI,AK35968,IL,701 N. Sacramento,(773) 265-7605,6893690
08/09/2017,HOND,4D,,BLU,AJ93747,IL,701 N. Sacramento,(773) 265-7605,6893702
09/06/2017,HOND,2D,,SIL,AP36180,IL,701 N. Sacramento,(773) 265-7605,6896135
09/06/2017,PONT,4D,,SIL,AH33160,IL,701 N. Sacramento,(773) 265-7605,6896134
09/06/2017,GMC,VN,,WHI,AG84069,AZ,10300 S. Doty,(773) 568-8495,2830945
08/09/2017,CHEV,2D,,SIL,481T629,IL,10300 S. Doty,(773) 568-8495,2828582
09/06/2017,FORD,2D,,RED,440T839,IL,10300 S. Doty,(773) 568-8495,2830947
08/04/2017,CHEV,4D,,BLU,E726102,IL,10300 S. Doty,(773) 568-8495,2828188
08/04/2017,CHRY,VN,,RED,BGY016,MI,10300 S. Doty,(773) 568-8495,2828269
08/04/2017,JEEP,LL,,GRN,,IL,10300 S. Doty,(773) 568-8495,2828267
08/04/2017,CHEV,4D,,GLD,Z732145,IL,10300 S. Doty,(773) 568-8495,2828268
08/09/2017,TOYT,4D,,TAN,Z238370,IL,701 N. Sacramento,(773) 265-7605,6893732
09/06/2017,NISS,4D,,SIL,ZY40544,IL,10300 S. Doty,(773) 568-8495,2830949
08/05/2017,AUDI,4D,,MAR,X586222,IL,701 N. Sacramento,(773) 265-7605,6893379
08/05/2017,NISS,4D,,GRY,AG88313,IL,701 N. Sacramento,(773) 265-7605,6893377
09/06/2017,VOLK,4D,,WHI,AM28680,IL,10300 S. Doty,(773) 568-8495,2830948
09/06/2017,CHEV,4D,,BLU,Y802097,IL,701 N. Sacramento,(773) 265-7605,6896138
09/06/2017,ACUR,2D,,BLK,678T404,IL,701 N. Sacramento,(773) 265-7605,6896145
09/06/2017,FORD,LL,,WHI,AN27020,IL,701 N. Sacramento,(773) 265-7605,6896147
08/07/2017,PONT,4D,,BLU,AP43515,IL,10300 S. Doty,(773) 568-8495,2828499
08/07/2017,PONT,4D,,BLK,,,10300 S. Doty,(773) 568-8495,2828500
09/06/2017,DODG,2D,,WHI,44B142,NV,701 N. Sacramento,(773) 265-7605,6896144
09/06/2017,BUIC,4D,,TAN,Q931361,IL,701 N. Sacramento,(773) 265-7605,6896146
08/08/2017,CHEV,4D,,BLK,,,10300 S. Doty,(773) 568-8495,2828556
08/08/2017,NISS,4D,,BLK,Q684237,IL,701 N. Sacramento,(773) 265-7605,6893691
09/05/2017,BUIC,4D,,WHI,AJ56763,IL,701 N. Sacramento,(773) 265-7605,6896029
09/05/2017,FORD,4D,,WHI,11472E,IN,701 N. Sacramento,(773) 265-7605,6896030
07/06/2017,CHEV,VN,,RED,,IL,10300 S. Doty,(773) 568-8495,2825929
09/06/2017,CHEV,VN,,GRN,Q614323,IL,701 N. Sacramento,(773) 265-7605,6896061
08/09/2017,VOLK,4D,,GRY,Q346795,IL,701 N. Sacramento,(773) 265-7605,6893789
09/06/2017,CHRY,VN,,SIL,AH28159,IL,701 N. Sacramento,(773) 265-7605,6896062
08/10/2017,CHRY,VN,,GRY,E690104,IL,400 E. Lower Wacker,(312) 744-7550,971356
08/09/2017,TOYT,4D,,WHI,ZX21211,IL,10300 S. Doty,(773) 568-8495,2828606
08/09/2017,CHRY,VC,,GRY,ZZ26466,IL,10300 S. Doty,(773) 568-8495,2828607
08/10/2017,DODG,VN,TK,SIL,ZV65430,IL,701 N. Sacramento,(773) 265-7605,6893836
08/10/2017,SUZI,LL,,GRY,Q431376,IL,701 N. Sacramento,(773) 265-7605,6893854
08/10/2017,CADI,4D,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6893852
08/10/2017,VOLV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2828625
08/10/2017,CHEV,VN,TK,WHI,AM61242,IL,701 N. Sacramento,(773) 265-7605,6893849
08/10/2017,CHEV,4D,,BLU,Z683066,IL,701 N. Sacramento,(773) 265-7605,6893851
07/05/2017,NISS,4D,,SIL,Z548720,IL,701 N. Sacramento,(773) 265-7605,6890771
07/05/2017,TOYT,4D,,GRY,Y712101,IL,701 N. Sacramento,(773) 265-7605,6890766
07/05/2017,TOYT,2D,,RED,Z639356,IL,701 N. Sacramento,(773) 265-7605,6890767
08/31/2017,KIA,LL,,WHI,V564013,IL,10300 S. Doty,(773) 568-8495,2830365
08/31/2017,MERC,4D,,WHI,Z802098,IL,10300 S. Doty,(773) 568-8495,2830369
08/31/2017,NISS,4D,,TAN,E529066,IL,10300 S. Doty,(773) 568-8495,2830366
08/31/2017,SUBA,4D,,SIL,Q817335,IL,10300 S. Doty,(773) 568-8495,2830367
09/01/2017,NISS,LL,,BLK,R963883,IL,701 N. Sacramento,(773) 265-7605,6895686
08/08/2017,CHRY,VN,,LBL,Q706374,IL,10300 S. Doty,(773) 568-8495,2828557
08/08/2017,LINC,4D,,WHI,,,10300 S. Doty,(773) 568-8495,2828558
08/08/2017,NISS,4D,,RED,Q168131,IL,10300 S. Doty,(773) 568-8495,2828559
08/09/2017,FORD,4D,,WHI,ZX28485,IL,10300 S. Doty,(773) 568-8495,2828567
08/09/2017,PONT,VN,TK,BRZ,230PS,IN,701 N. Sacramento,(773) 265-7605,6893705
09/06/2017,LINC,4T,,CRM,,IL,10300 S. Doty,(773) 568-8495,2830924
07/12/2017,FORD,VN,,BLU,E384992,IL,701 N. Sacramento,(773) 265-7605,6891229
07/12/2017,BUIC,4D,,GRY,AL13624,IL,701 N. Sacramento,(773) 265-7605,6891228
08/09/2017,MITS,4D,,SIL,AH16783,IL,10300 S. Doty,(773) 568-8495,2828568
09/06/2017,JEEP,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2830923
08/04/2017,MITS,4D,,SIL,H951140,IL,701 N. Sacramento,(773) 265-7605,6893336
09/06/2017,BMW,4D,,GRY,AK49840,IL,701 N. Sacramento,(773) 265-7605,6896051
09/06/2017,MERZ,4D,,GRN,AB11135,IL,10300 S. Doty,(773) 568-8495,2830927
08/02/2017,CHEV,4D,,BLU,E468652,IL,10300 S. Doty,(773) 568-8495,2828028
08/04/2017,CHEV,VN,,BLU,9823473,IL,10300 S. Doty,(773) 568-8495,2828266
08/05/2017,LEXS,4D,,WHI,R908022,IL,701 N. Sacramento,(773) 265-7605,6893410
07/05/2017,CHEV,2D,,TAN,,IL,10300 S. Doty,(773) 785-9752,171277
09/06/2017,CHEV,4T,,BLK,,IL,10300 S. Doty,(773) 568-8495,2830929
